field,json_value
"apiVersion","""v1"""
"question","""Чи підтримуєте перевірку відкритого коду в браузерному сценарії 3e69dc6d08?"""
"version","2"
"pollId","""djz6Qgu7Yr2wSY"""
"policy","{""id"":""verified-rnokpp-owner"",""version"":1}"
"acceptedVotes","3"
"counts","[1,1,1]"
"opensAt","""2026-09-06T19:41:00.000Z"""
"closesAt","""2026-09-06T19:47:00.000Z"""
"state","""Published"""
"verification","""ReferenceVerified"""
"selfSelected","true"
"representativenessWarning","""Добровільна участь із самовідбором. Результат описує учасників цього голосування й не є автоматично репрезентативною думкою населення."""
